pair,pixel,fourier,curvature,centroid,texture,total
3.right - 5.left,0.4980859,0.6014757543082335,1.0,0.34624645676501364,0.40622432631577965,0.5167424423279592
3.bottom - 5.top,0.22394958,0.10747345949348767,1.0,0.31250655586107523,0.3386021173597064,0.26699758648716987
3.right - 6.left,0.04516807,0.13489882303165524,0.9393490145863891,0.1093786856326023,0.377897388211539,0.13533365503482422
3.bottom - 6.top,0.24143323,0.5286048512633557,1.0,0.28451872768493275,0.34348928319803074,0.32043861294626813
3.right - 7.left,0.04400093,0.22370867095376806,0.8651073012258222,0.06441771825717064,0.37361300530756086,0.13700907035919177
3.bottom - 7.top,0.26169467,0.3475752231174623,1.0,0.38191831078802263,0.41599576697463164,0.3286392773946036
3.right - 8.left,0.23830532,0.2107022830761203,0.8593465053952255,0.23038852211331542,0.4562543066801504,0.2879961266434354
3.bottom - 8.top,0.18629785,0.29224125865895695,1.0,0.31245843887231783,0.32430275857903584,0.25768581933201173
3.right - 9.left,0.26015407,0.25796542405491385,0.8160452049925317,0.2481348978139743,0.41069697862747906,0.30218309631779766
3.bottom - 9.top,0.29007936,0.23894716202514812,1.0,0.3544520129196575,0.34870448081800237,0.3295433106179734
3.right - 10.left,0.24341737,0.26753881444977534,0.9200667882908674,0.23883835161108286,0.3949034347153078,0.29458163755888367
3.bottom - 10.top,0.28870216,0.2841042863986887,0.8316320387840126,0.227700971745109,0.3598515330768172,0.3194537475382462
3.right - 11.left,0.053851537,0.2285682098516555,0.9482051396541004,0.06343401287183827,0.35731600345621695,0.14686645365147924
3.bottom - 11.top,0.3484127,0.4028206012698134,0.9531364018047568,0.3375456014884647,0.32132318642719987,0.38083736371715354
3.right - 12.left,0.06146125,0.6163087053675446,0.8656848804950756,0.06408631609383214,0.3830796655059137,0.18945027165953757
3.bottom - 12.top,0.34437442,0.29967924087736403,1.0,0.3374577312571314,0.32003756724151333,0.36990665717557897
3.right - 13.left,0.02273576,0.24557095992817005,0.8869382090274116,0.08455768686771997,0.3048519546140907,0.11953211686252427
3.bottom - 13.top,0.19516806,0.4274641959001948,0.956255778325664,0.3315228291646511,0.351204057729742,0.27887340135880917
3.right - 14.left,0.15245098,0.5102129156429344,0.9788884202855136,0.3274294860533042,0.2884402181992525,0.25189689532044135
3.bottom - 14.top,0.2669701,0.5453256132885054,0.9592577068263134,0.37967909368931935,0.3721139235399414,0.34556986232167863
3.right - 15.left,0.35151726,0.3300228772219793,0.8814302507546316,0.2974449705973101,0.30610289829448917,0.368618423651707
3.bottom - 15.top,0.36475256,0.28706262491560613,0.9528072752571615,0.2882244148562992,0.44330820999117126,0.3904154456929603
4.right - 0.left,0.17938843,0.2984280306156634,0.8492997380542052,0.317141451197657,0.21233772996449055,0.2349705420872284
4.bottom - 0.top,0.41535947,0.26680668413421676,0.9348700958046372,0.28343492346881816,0.3126599415687525,0.4096135495622595
4.right - 1.left,0.29547152,0.3261729763586026,1.0,0.38923360580186883,0.3329240727787635,0.34220143972539074
4.bottom - 1.top,0.562465,0.03759373777640907,0.7425757063782842,0.24110171749088563,0.289521376874762,0.47562089707050187
4.right - 2.left,0.24894959,0.1962967551599655,1.0,0.21912878152610385,0.178926338381536,0.27274346255227383
4.bottom - 2.top,0.3279645,0.5689144719895667,0.9701919467713044,0.218359976555737,0.2780688268974826,0.3737010832205843
4.right - 3.left,0.1629085,0.21907924110361343,0.791381463043152,0.26782460976436634,0.3429252408245222,0.2231966934935937
4.bottom - 3.top,0.27558357,0.3033407478676692,0.9170724485656992,0.5141928515339254,0.2714160369223326,0.321947439148578
4.right - 5.left,0.29887956,0.407575350660803,0.9867753873022892,0.3547428884977937,0.33047998455566746,0.3500971330368633
4.bottom - 5.top,0.22679739,0.28275005890167604,0.8816152607385996,0.3483526134548483,0.34899435931307876,0.2834309989832963
4.right - 6.left,0.31216154,0.2579690534412381,0.8915707268927615,0.20734567550806365,0.29144304641955304,0.32840010164313826
4.bottom - 6.top,0.36874416,0.5543612393881823,0.8910053442742192,0.4313584936578645,0.32856531499906927,0.4125317715697196
4.right - 7.left,0.2787815,0.16737069655896883,0.8122247968295886,0.23943258670837064,0.389227344817783,0.30338972572183787
4.bottom - 7.top,0.27677402,0.18692086236620511,0.9485310189921354,0.3819443981671065,0.3737888151612808,0.3163365519127508
4.right - 8.left,0.2871382,0.23157766691232062,0.8087362965415593,0.32701623950530495,0.3978652739848106,0.3207286476433838
4.bottom - 8.top,0.28601775,0.1456616791425807,0.9014509493852833,0.4621430849920798,0.3055416942712658,0.3135124580933033
4.right - 9.left,0.2702381,0.10745687092115404,0.7613019446913746,0.2818863342250622,0.3082478490203638,0.2828965510171831
4.bottom - 9.top,0.2721055,0.16360161303274154,0.9049587366425623,0.2041186617837801,0.25928325070296515,0.2882161959355052
4.right - 10.left,0.13926238,0.2410133798066529,0.8698909306888589,0.30121638672286455,0.29992527063482943,0.2101328956657873
4.bottom - 10.top,0.20718953,0.18789478534955337,0.6902697839484457,0.30501140605186,0.2843046417520024,0.2420166762843438
4.right - 11.left,0.3271942,0.1793203897092185,0.8949241345146567,0.2358668351946573,0.3017989543840361,0.3336874266413579
4.bottom - 11.top,0.33688143,0.45019813771709244,0.8145075388107761,0.21243054417011678,0.3630791880836685,0.3684916369990106
